2018-05-11 13:56:59,976 [main] INFO org.apache.coyote.http11.Http11NioProtocol;Line:179 - Initializing ProtocolHandler ["http-nio-8082"]
2018-05-11 13:57:00,014 [main] INFO org.apache.coyote.http11.Http11NioProtocol;Line:179 - Starting ProtocolHandler ["http-nio-8082"]
2018-05-11 13:57:00,089 [main] INFO org.apache.tomcat.util.net.NioSelectorPool;Line:179 - Using a shared selector for servlet write/read
2018-05-11 13:57:00,104 [main] INFO org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer;Line:201 - Tomcat started on port(s): 8082 (http)
2018-05-11 13:57:00,110 [main] INFO com.wsl.wjw.WjwFrontApp;Line:57 - Started WjwFrontApp in 3.802 seconds (JVM running for 4.162)
2018-05-11 13:59:50,480 [main] INFO org.springframework.boot.test.context.SpringBootTestContextBootstrapper;Line:319 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.wsl.wjw.WjwApplicationTests], using SpringBootContextLoader
2018-05-11 13:59:50,486 [main] INFO org.springframework.test.context.support.AbstractContextLoader;Line:264 - Could not detect default resource locations for test class [com.wsl.wjw.WjwApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-05-11 13:59:50,487 [main] INFO org.springframework.test.context.support.AnnotationConfigContextLoaderUtils;Line:81 - Could not detect default configuration classes for test class [com.wsl.wjw.WjwApplicationTests]: WjwApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-05-11 13:59:50,591 [main] INFO org.springframework.boot.test.context.SpringBootTestContextBootstrapper;Line:206 - Found @SpringBootConfiguration com.wsl.wjw.WjwFrontApp for test class com.wsl.wjw.WjwApplicationTests
2018-05-11 13:59:50,598 [main] INFO org.springframework.boot.test.context.SpringBootTestContextBootstrapper;Line:260 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
